Animal_ID,Group_ID,Date,Dry_Days,Days_in_Milk,Is_Milked,Lactation_Num,Yield (gr),Conductivity,Fat (%),Protein (%),Lactose (%),Blood (%),SCC (*1000/ml),Activity (steps/hour),RestTime (minutes),RestBout (#),ProdRate (gr/hour),RestRatio (%),RestRestlessness,RestPerBout (minutes),ActivityDeviation (%)
8106,22,2018-04-03,0,99,1,4,53204,92.0,2.81,3.68,1.96,0.14,46131.761,143,913,9,2216,59,20,101,4.0
8627,23,2018-04-03,0,71,1,3,49794,98.0,3.23,3.1,4.16,0.1,6.441,279,595,6,2074,41,51,99,22.0
7667,22,2018-04-03,0,112,1,5,32994,125.0,2.91,4.28,1.78,0.19,16069.407,175,538,5,1374,39,32,108,11.0
11067,8,2018-04-03,0,91,1,1,33371,90.0,3.16,2.8,3.38,0.07,1250.259,139,621,12,1390,43,26,52,-16.0
11259,2,2018-04-03,0,47,1,1,31366,85.0,3.54,3.13,4.09,0.16,13.120999999999999,218,606,13,1306,42,43,47,-9.0
9576,5,2018-04-03,0,66,1,2,40099,93.0,3.32,3.13,3.19,0.18,331.894,148,625,10,1670,40,29,62,-4.0
9155,23,2018-04-03,0,209,1,2,45515,109.0,2.9,2.92,3.49,0.08,92.896,145,661,12,1896,46,26,55,7.0
9494,5,2018-04-03,0,60,1,2,51144,94.0,2.72,3.31,2.52,0.15,1702.158,177,595,4,2131,43,31,149,-9.0
9395,5,2018-04-03,0,139,1,1,40096,97.0,2.3,3.3,2.01,0.04,16292.956,140,-1,-1,1670,-1,-1,-1,-4.0
3873,22,2018-04-03,0,66,1,3,53239,92.0,2.41,3.51,3.26,0.13,271.019,163,-1,-1,2218,-1,-1,-1,12.0
866,6,2018-04-03,0,163,1,1,34126,97.0,3.38,2.74,3.07,0.06,114.551,219,486,13,1421,37,46,37,22.0
9970,8,2018-04-03,0,92,1,1,37088,103.0,2.61,3.19,3.46,0.13,59.841,152,645,12,1545,45,24,54,-3.0
8789,22,2018-04-04,0,72,1,3,54378,100.0,2.84,2.97,3.44,0.1,1482.5179999999998,248,628,9,2265,44,42,70,20.0
835,23,2018-04-04,0,189,1,3,47489,97.0,3.35,2.93,3.12,0.16,21677.039,120,836,13,1978,58,16,64,26.0
9395,5,2018-04-04,0,140,1,1,38444,98.0,2.56,2.98,3.51,0.08,4315.193,195,-1,-1,1601,-1,-1,-1,31.0
3873,22,2018-04-04,0,67,1,3,56175,92.0,2.55,2.75,3.47,0.12,152.054,133,604,7,2340,42,24,86,4.0
11181,8,2018-04-04,0,91,1,1,40964,93.0,2.46,2.8,2.34,0.14,50699.060999999994,202,655,14,1706,46,31,47,15.0
11095,8,2018-04-04,0,91,1,1,43754,99.0,2.8,3.21,3.04,0.15,1409.289,209,727,9,1823,51,26,81,11.0
6268,5,2018-04-04,0,67,1,2,59234,97.0,2.72,3.96,1.41,0.14,79432.84,152,790,8,2468,51,20,99,2.0
8244,22,2018-04-04,0,211,1,3,34706,89.0,4.01,3.43,3.26,0.14,769.13,130,878,14,1446,61,15,63,23.0
4371,5,2018-04-04,0,60,1,2,36139,97.0,3.69,2.87,3.19,0.44,488.652,242,322,5,1505,22,79,64,7.0
9494,5,2018-04-04,0,61,1,2,51128,92.0,3.05,2.18,2.98,0.95,17947.343,193,457,4,2130,30,47,114,23.0
