Animal_ID,Group_ID,Date,Dry_Days,Days_in_Milk,Is_Milked,Lactation_Num,Yield (gr),Conductivity,Fat (%),Protein (%),Lactose (%),Blood (%),SCC (*1000/ml),Activity (steps/hour),RestTime (minutes),RestBout (#),ProdRate (gr/hour),RestRatio (%),RestRestlessness,RestPerBout (minutes),ActivityDeviation (%)
8007,12,2018-04-03,0,73,1,4,49917,95.0,3.05,2.7,3.0,0.11,3427.676,157,589,8,2079,41,29,74,19.0
9599,5,2018-04-03,0,59,1,2,45722,96.0,3.42,2.2,2.88,0.08,20606.305,285,-1,-1,1905,-1,-1,-1,24.0
8789,22,2018-04-03,0,71,1,3,55359,98.0,2.53,2.98,3.09,0.1,13182.563,223,670,4,2306,47,33,168,16.0
11095,8,2018-04-03,0,90,1,1,48751,105.0,2.59,3.01,3.03,0.14,363.07800000000003,206,595,15,2031,40,36,40,-3.0
835,23,2018-04-03,0,188,1,3,49086,95.0,3.1,2.89,2.77,0.15,4111.495,121,729,13,2045,49,18,56,33.0
6256,5,2018-04-03,0,55,1,2,51489,93.0,2.97,2.94,2.93,0.09,221.30900000000003,130,-1,-1,2145,-1,-1,-1,-4.0
9945,6,2018-04-03,0,165,1,1,27034,87.0,3.58,3.26,2.57,0.09,606.736,151,844,11,1126,60,18,77,14.0
9978,8,2018-04-03,0,92,1,1,43729,92.0,2.97,3.49,2.77,0.17,370.68,170,565,8,1822,39,31,71,11.0
9083,23,2018-04-03,0,162,1,2,42028,93.0,3.92,3.37,3.68,0.09,74.98899999999999,175,742,8,1751,52,24,93,21.0
7216,22,2018-04-03,0,122,1,5,49349,116.0,1.49,2.21,1.22,0.19,389045.281,118,848,12,2056,54,16,71,1.0
11139,6,2018-04-03,0,73,1,1,36258,92.0,2.1,3.27,0.68,0.13,67142.907,199,682,15,1510,47,32,45,5.0
8773,23,2018-04-03,0,100,1,3,52440,91.0,2.75,2.77,2.9,0.11,19815.267,343,781,13,2185,52,37,60,45.0
11259,2,2018-04-04,0,48,1,1,31546,84.0,3.38,3.3,2.49,0.09,1177.606,226,577,12,1314,40,44,48,-11.0
8540,10,2018-04-04,0,160,1,3,29482,92.0,3.22,3.79,2.65,0.15,554.625,142,790,10,1228,55,19,79,-6.0
8796,23,2018-04-04,0,112,1,3,32069,96.0,2.85,2.23,3.39,0.1,53703.181,452,333,4,1336,23,113,83,143.0
7255,23,2018-04-04,0,118,1,5,67371,95.0,2.65,2.73,2.79,0.11,3111.716,108,832,7,2807,58,12,119,11.0
8007,12,2018-04-04,0,74,1,4,52808,97.0,3.22,2.76,2.47,0.1,11534.527,135,456,9,2200,32,34,51,5.0
8627,23,2018-04-04,0,72,1,3,48107,97.0,2.73,3.78,2.84,0.13,89.125,306,393,7,2004,27,81,56,32.0
9970,8,2018-04-04,0,93,1,1,36263,103.0,2.84,3.2,1.9,0.16,25644.835,174,523,10,1510,36,33,52,12.0
866,6,2018-04-04,0,164,1,1,33575,101.0,3.06,3.29,2.51,0.11,5035.0070000000005,257,610,13,1398,39,44,47,31.0
4000,22,2018-04-04,0,58,1,2,42282,96.0,2.96,3.45,3.56,0.1,359.749,115,865,9,1761,63,14,96,14.0
11087,8,2018-04-04,0,76,1,1,40009,96.0,2.25,2.57,2.79,0.11,966.051,206,-1,-1,1667,-1,-1,-1,20.0
9599,5,2018-04-04,0,60,1,2,49333,100.0,3.57,3.02,2.31,0.13,184501.454,253,-1,-1,2055,-1,-1,-1,-8.0
8773,23,2018-04-04,0,101,1,3,52549,92.0,2.6,3.06,2.79,0.12,21134.881,308,634,10,2189,44,50,63,26.0
11177,8,2018-04-04,0,83,1,1,34414,91.0,2.79,2.66,2.96,0.1,5345.645,265,726,19,1433,50,36,38,4.0
8628,23,2018-04-04,0,75,1,3,46201,96.0,3.02,3.88,2.49,0.13,1086.425,201,477,7,1925,33,48,68,20.0
7667,10,2018-04-04,0,113,1,5,51879,114.0,2.83,2.81,2.1,0.2,7345.141,155,586,15,2161,39,32,39,-1.0
4353,23,2018-04-05,0,108,1,2,34001,91.0,3.72,2.91,2.66,0.09,11142.943000000001,124,904,10,1416,64,14,90,2.0
8628,23,2018-04-05,0,76,1,3,49413,94.0,3.53,2.82,2.39,0.09,11.015,202,325,8,2058,23,70,41,15.0
9487,5,2018-04-05,0,59,1,2,58348,94.0,1.87,3.44,2.54,0.12,7095.774,182,624,15,2431,43,35,42,15.0
9372,5,2018-04-05,0,65,1,2,53583,93.0,3.08,2.76,3.42,0.09,481.94699999999995,152,757,19,2232,49,22,40,10.0
8244,22,2018-04-05,0,212,1,3,34477,91.0,3.09,3.4,3.14,0.11,1009.253,127,690,11,1436,48,22,63,18.0
3873,22,2018-04-05,0,68,1,3,53175,89.0,2.03,2.84,3.37,0.1,3228.492,161,562,6,2215,39,28,94,21.0
835,23,2018-04-05,0,190,1,3,42940,97.0,3.17,2.91,4.42,0.15,141579.385,131,763,9,1789,53,18,85,26.0
7794,22,2018-04-05,0,58,1,4,49962,107.0,3.35,3.05,2.38,0.13,31841.994,238,-1,-1,2081,-1,-1,-1,12.0
11087,8,2018-04-05,0,77,1,1,40939,98.0,2.68,2.76,3.57,0.08,291.742,231,613,8,1705,43,39,77,28.0
11181,8,2018-04-05,0,92,1,1,36955,93.0,2.46,3.3,2.29,0.1,4375.218,162,763,14,1539,53,22,54,-1.0
8007,12,2018-04-05,0,75,1,4,47459,97.0,3.43,2.78,2.39,0.12,18836.495,130,607,7,1977,44,23,87,4.0
9945,6,2018-04-05,0,167,1,1,28482,87.0,3.02,2.66,1.77,0.06,1584.892,160,874,11,821,61,17,79,14.0
98,23,2018-04-05,0,89,1,2,35597,102.0,3.06,3.28,3.18,0.13,478.629,199,835,17,1483,57,26,49,23.0
9155,23,2018-04-05,0,211,1,2,45330,104.0,2.88,2.72,2.93,0.15,12445.14,209,658,12,1888,46,30,55,45.0
9454,5,2018-04-05,0,69,1,2,54449,89.0,2.74,2.88,2.05,0.11,12331.05,226,-1,-1,2268,-1,-1,-1,45.0
11139,6,2018-04-06,0,76,1,1,39964,93.0,2.27,2.78,2.37,0.07,2089.2960000000003,174,748,11,1665,52,26,68,12.0
6256,5,2018-04-06,0,58,1,2,50290,91.0,2.75,3.26,1.7,0.06,726.1060000000001,184,-1,-1,2095,-1,-1,-1,34.0
8244,22,2018-04-06,0,213,1,3,35974,90.0,3.43,3.65,2.13,0.16,1156.112,122,664,10,1498,50,20,66,13.0
8479,12,2018-04-06,0,90,1,3,45813,94.0,3.74,3.0,2.91,0.12,3523.708,145,793,9,1908,55,21,88,2.0
3873,22,2018-04-06,0,69,1,3,50871,89.0,2.74,2.95,2.77,0.05,9638.294,115,-1,-1,2119,-1,-1,-1,-7.0
8111,22,2018-04-06,0,154,1,4,37168,83.0,3.84,3.81,2.63,0.16,343.55800000000005,125,-1,-1,1548,-1,-1,-1,15.0
9576,5,2018-04-06,0,69,1,2,36449,88.0,3.36,2.95,2.22,0.1,34673.681000000004,119,904,10,1518,54,16,90,-24.0
6268,5,2018-04-06,0,69,1,2,55183,120.0,2.22,3.13,2.98,0.16,4425.8820000000005,155,-1,-1,2299,-1,-1,-1,7.0
98,23,2018-04-06,0,90,1,2,34616,97.0,3.09,3.52,2.99,0.12,292.415,189,826,13,1442,58,23,64,10.0
9978,8,2018-04-06,0,95,1,1,45603,96.0,2.94,2.51,2.52,0.09,18365.38,147,544,8,1900,38,34,68,-8.0
4371,5,2018-04-06,0,62,1,2,34698,110.0,3.29,2.75,3.82,0.44,756.8330000000001,289,240,5,1445,18,113,48,24.0
11124,8,2018-04-06,0,78,1,1,28200,84.0,2.79,3.33,2.36,0.11,7998.34,208,568,225,1175,41,27,3,11.0
4000,22,2018-04-06,0,60,1,2,39389,96.0,2.75,3.18,2.96,0.09,9682.779,109,-1,-1,1641,-1,-1,-1,5.0
9083,23,2018-04-06,0,165,1,2,41630,93.0,3.71,3.01,2.79,0.12,5571.855,179,664,8,1734,46,28,83,4.0
8540,10,2018-04-06,0,162,1,3,34750,96.0,2.69,2.99,3.56,0.12,493.173,129,884,7,1447,61,15,126,-7.0
9970,8,2018-04-06,0,95,1,1,34865,106.0,3.04,3.83,3.08,0.13,259.41700000000003,168,652,12,1452,45,24,54,16.0
98,23,2018-04-07,0,91,1,2,39343,101.0,3.04,3.33,2.03,0.12,10162.485999999999,176,739,20,1639,51,27,37,1.0
9576,5,2018-04-07,0,70,1,2,38217,88.0,3.06,3.55,3.03,0.17,22438.81,115,697,9,1592,53,20,77,-24.0
9494,5,2018-04-07,0,64,1,2,50835,95.0,2.46,2.7,2.28,0.15,36.056999999999995,190,373,4,2118,26,58,93,11.0
8111,22,2018-04-07,0,155,1,4,36991,88.0,3.46,3.57,3.47,0.14,1037.527,126,-1,-1,1541,-1,-1,-1,-4.0
9857,12,2018-04-07,0,155,1,1,33926,92.0,3.6,2.49,2.55,0.14,152756.611,181,697,9,1413,48,29,77,10.0
